Variable,DND_Mid_M,DND_Post_M,Norm_Mid_M,Norm_Post_M,t_Condition,p_Condition,t_Period,p_Period,Interaction
Stress,2.7142857142857144,2.4,3.6,3.142857142857143,-2.531811987973444,0.01899712003087869,0.7521398046336105,0.45993912889208305,-0.1428571428571428
Overwhelmed,3.0,2.6,3.0,3.2857142857142856,-1.0488088481701507,0.3056520122590393,0.0,1.0,0.6857142857142855
FocusBetter,4.0,3.8,2.6,2.5714285714285716,4.8851209585496465,6.960715076258567e-05,0.8599394154935142,0.3990967787539715,0.1714285714285717
MoreProductive,3.4285714285714284,3.8,3.2,2.857142857142857,2.0284239736292546,0.05479349605975309,0.266397713833066,0.7924138407011545,-0.7142857142857144
PhoneInterrupted,1.7142857142857142,1.8,3.4,3.142857142857143,-4.874423042781576,7.143903748065651e-05,-0.3767432598879087,0.709973714623624,-0.34285714285714297
MissedMessages,3.857142857142857,4.0,1.8,1.7142857142857142,6.39195923462774,1.971506363440469e-06,0.586301969977929,0.5636404499989544,-0.22857142857142865
EasierTimeManage,3.857142857142857,3.2,2.4,2.7142857142857144,2.458821166070757,0.022277437129230644,0.7347634317339816,0.47024385969638227,0.9714285714285715
DisruptiveRoutine,2.5714285714285716,2.25,3.0,3.142857142857143,-1.3129158461652628,0.20337848695313182,-0.13691932045588598,0.8923987665739213,0.4642857142857144
