Variable,DND_M,DND_SD,Normal_M,Normal_SD,Diff,t,df,p,Cohens_d,W,W_p,n
Stress,2.5833333333333335,0.6400954789890506,3.3333333333333335,0.74535599249993,-0.75,-3.0,11,0.012079839471921369,-0.9045340337332909,4.0,0.03125,12
Overwhelmed,2.8333333333333335,0.7993052538854533,3.1666666666666665,0.6871842709362768,-0.3333333333333333,-1.1726039399558574,11,0.26572321149777295,-0.35355339059327373,5.0,0.34375,12
FocusBetter,3.9166666666666665,0.4930066485916347,2.5833333333333335,0.7592027982620249,1.3333333333333333,4.690415759823429,11,0.0006603135246711995,1.414213562373095,0.0,0.00390625,12
MoreProductive,3.5833333333333335,0.49300664859163473,3.0,0.816496580927726,0.5833333333333334,1.8647839968314588,11,0.0890935775048715,0.5622535302317492,6.0,0.125,12
PhoneInterrupted,1.75,0.7216878364870323,3.25,0.7216878364870323,-1.5,-5.744562646538029,11,0.00012940169548043975,-1.7320508075688774,0.0,0.0009765625,12
MissedMessages,3.9166666666666665,0.6400954789890507,1.75,0.924211375534118,2.1666666666666665,5.922454870922463,11,9.981775417964482e-05,1.7856873313329573,0.0,0.001953125,12
EasierTimeManage,3.5833333333333335,0.8620067027323834,2.5833333333333335,1.0374916331657278,1.0,2.2532028485964326,11,0.045632906787249794,0.6793662204867574,6.0,0.0625,12
DisruptiveRoutine,2.4545454545454546,1.233150906022776,3.090909090909091,0.9958591954639383,-0.6363636363636364,-1.3471506281091266,10,0.2076636688292926,-0.4260064336151292,16.0,0.28125,11
